team,venue,matches,wins
Bangladesh,P Saravanamuttu Stadium,1,0
Bangladesh,R Premadasa Stadium,2,0
Scotland,Titwood,1,0
India,Titwood,1,1
South Africa,Queens Sports Club,4,4
England,County Ground,7,4
India,County Ground,1,1
South Africa,Harare Sports Club,7,6
India,Old Trafford,4,2
India,Headingley,4,2
Australia,Nehru Stadium,2,2
Australia,"Rajiv Gandhi International Stadium, Uppal",3,2
India,Sector 16 Stadium,1,1
Australia,Sector 16 Stadium,1,0
England,R Premadasa Stadium,7,1
Australia,Reliance Stadium,2,2
India,Vidarbha Cricket Association Ground,1,0
Australia,Vidarbha Cricket Association Ground,1,1
Australia,Wankhede Stadium,2,1
South Africa,Gaddafi Stadium,3,2
South Africa,Iqbal Stadium,1,0
South Africa,Multan Cricket Stadium,1,1
Pakistan,Nehru Stadium,1,0
India,Captain Roop Singh Stadium,2,2
Pakistan,Captain Roop Singh Stadium,1,0
New Zealand,Kingsmead,2,0
West Indies,Queens Sports Club,3,1
Bangladesh,Eden Park,1,0
Bangladesh,McLean Park,3,0
Bangladesh,Queenstown Events Centre,1,0
Zimbabwe,National Stadium,1,0
Pakistan,"Niaz Stadium, Hyderabad",1,1
Zimbabwe,"Niaz Stadium, Hyderabad",1,0
West Indies,St George's Park,2,1
Zimbabwe,Iqbal Stadium,1,0
West Indies,Kingsmead,2,0
Pakistan,Sheikhupura Stadium,1,1
Zimbabwe,Sheikhupura Stadium,1,0
West Indies,New Wanderers Stadium,5,0
England,Westpac Stadium,4,1
England,Seddon Park,3,0
England,Eden Park,2,2
India,Adelaide Oval,6,4
New Zealand,AMI Stadium,4,2
England,AMI Stadium,1,0
India,"Brisbane Cricket Ground, Woolloongabba",5,1
South Africa,Chittagong Divisional Stadium,1,1
South Africa,Shere Bangla National Stadium,6,4
Bangladesh,Gaddafi Stadium,4,1
Bangladesh,Iqbal Stadium,1,0
Bangladesh,National Stadium,4,0
Pakistan,Shere Bangla National Stadium,16,10
New Zealand,County Ground,1,1
Hong Kong,National Stadium,2,0
Australia,"Arnos Vale Ground, Kingstown",3,2
United Arab Emirates,Gaddafi Stadium,2,0
Canada,Maple Leaf North-West Ground,3,1
Bermuda,Maple Leaf North-West Ground,1,1
Netherlands,Clontarf Cricket Club Ground,2,0
Scotland,Clontarf Cricket Club Ground,2,1
Ireland,Clontarf Cricket Club Ground,7,4
South Africa,Headingley,2,0
India,R Premadasa Stadium,12,9
South Africa,Trent Bridge,2,1
Australia,Marrara Cricket Ground,3,3
Bangladesh,Marrara Cricket Ground,3,0
South Africa,Lord's,4,1
Ireland,Gymkhana Club Ground,1,0
Zimbabwe,Gymkhana Club Ground,2,2
South Africa,OUTsurance Oval,2,2
Kenya,OUTsurance Oval,1,0
South Africa,Senwes Park,5,4
Bangladesh,Senwes Park,1,0
